phase,bench,cl,ch,al,am,ah,wi,wp,wf,wg,area,delay,acc,rej,nodes
P1,max,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,1991.5,4285.30,51,370,2846
P1,multiplier,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19707.5,4009.48,36,100,26644
P1,multiplier,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19998.2,4009.48,30,110,26995
P1,multiplier,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19879.6,4009.48,34,107,26998
P1,multiplier,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,20001.9,4009.48,29,112,26993
P1,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19787.8,4009.48,36,124,26875
P1,multiplier,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19962.0,4009.48,36,106,26982
P1,multiplier,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19962.0,4009.48,36,105,26982
P1,multiplier,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19932.9,4009.48,30,127,26891
P1,multiplier,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19707.5,4009.48,36,100,26644
P1,multiplier,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19970.6,4009.48,34,106,26984
P1,multiplier,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19885.5,4009.48,40,111,26974
P1,multiplier,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19986.3,4009.48,31,114,26985
P1,multiplier,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19869.6,4009.48,34,135,26885
P1,multiplier,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,19920.7,4009.48,37,105,26966
P1,multiplier,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,19917.3,4009.48,38,112,26965
P1,multiplier,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,19873.6,4009.48,41,127,26867
P1,sin,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,3784.9,3036.73,31,489,5127
P1,sin,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,3846.2,3048.48,44,218,5255
P1,sin,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,3959.7,3061.69,33,256,5303
P1,sin,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,3846.2,3048.48,44,218,5255
P1,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,3794.6,2993.21,61,580,5196
P1,sin,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,3798.1,3095.55,61,503,5245
P1,sin,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,3819.6,3105.96,50,509,5292
P1,sin,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,3773.0,3032.64,62,548,5167
P1,sin,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,3784.9,3036.73,31,488,5127
P1,sin,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,3834.4,3055.46,42,259,5294
P1,sin,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,3920.0,3051.02,38,231,5267
P1,sin,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,3921.3,3022.63,32,262,5290
P1,sin,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,3866.0,2953.58,60,546,5193
P1,sin,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,3893.3,3078.36,46,534,5307
P1,sin,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,3854.1,3111.09,62,500,5252
P1,sin,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,3795.7,2995.43,53,544,5181
P1,sqrt,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,13373.6,90562.52,22,79,18334
P1,sqrt,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,17565.2,85726.88,16,11,21651
P1,sqrt,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,17141.6,86817.99,20,12,21039
P1,sqrt,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,15426.7,88440.95,16,19,19722
P1,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,13154.1,90095.32,35,1624,18354
P1,sqrt,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,17417.6,84889.22,22,25,21621
P1,sqrt,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,17417.6,84889.22,22,25,21621
P1,sqrt,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,16132.1,87078.42,16,19,20309
P1,sqrt,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,13359.5,90634.51,24,79,18334
P1,sqrt,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,17734.0,85442.00,16,12,21840
P1,sqrt,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,16872.5,86701.30,19,11,21025
P1,sqrt,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,15461.0,88497.36,16,12,19774
P1,sqrt,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,13164.3,90279.85,33,1625,18359
P1,sqrt,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,17304.6,85429.84,19,14,21566
P1,sqrt,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,17304.6,85429.84,19,14,21566
P1,sqrt,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,15975.9,87108.23,15,18,20170
P1,square,0.15,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,12728.6,3781.09,51,184,18242
P1,square,0.15,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,12741.0,3754.16,46,181,18406
P1,square,0.15,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,12736.5,3749.31,45,199,18401
P1,square,0.15,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,12736.1,3744.23,48,182,18398
P1,square,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,12711.5,3738.29,56,187,18342
P1,square,0.15,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,12719.0,3758.59,47,188,18394
P1,square,0.15,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,12717.4,3758.59,47,197,18396
P1,square,0.15,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,12707.3,3747.61,51,189,18369
P1,square,0.25,0.85,0.10,0.20,0.40,0.00,0.50,0.25,0.25,12728.6,3781.09,51,185,18242
P1,square,0.25,0.85,0.30,0.50,0.80,0.00,0.50,0.25,0.25,12746.7,3744.42,58,167,18406
P1,square,0.25,0.85,0.50,0.70,0.90,0.00,0.50,0.25,0.25,12731.6,3754.16,41,213,18385
P1,square,0.25,0.85,0.20,0.50,0.70,0.00,0.50,0.25,0.25,12747.4,3728.55,48,183,18405
P1,square,0.25,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,12719.4,3728.78,51,190,18379
P1,square,0.25,0.95,0.30,0.50,0.80,0.00,0.50,0.25,0.25,12721.0,3754.16,41,194,18392
P1,square,0.25,0.95,0.50,0.70,0.90,0.00,0.50,0.25,0.25,12717.5,3754.16,50,203,18382
P1,square,0.25,0.95,0.20,0.50,0.70,0.00,0.50,0.25,0.25,12731.2,3728.59,43,199,18387
P2,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,762.7,3873.34,15,80,1003
P2,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,762.7,3873.34,15,80,1003
P2,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,762.7,3873.34,15,80,1003
P2,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,779.2,3863.51,26,101,981
P2,adder,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,762.7,3873.34,15,80,1003
P2,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,2091.6,237.72,4,16,2956
P2,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,2091.6,237.72,4,16,2956
P2,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,2091.6,237.72,4,16,2956
P2,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,2091.6,237.72,4,16,2956
P2,bar,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,2091.6,237.72,4,16,2956
