part,pot,criticality,slack_potential,struct_potential,fanout,window_size,prior,model_prob,accepted,goal_hit,area_impr_pct,delay_delta,node
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.007320,0.000000,n1559
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.023134,0.000000,n1592
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.007614,0.000000,n1619
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.201763,0.000000,n1717
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.000586,0.000000,n1888
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.038654,0.000000,n1956
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n1961
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,1.572241,3.980011,n2016
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.023427,0.000000,n2093
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.007616,0.000000,n2126
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.069712,0.000000,n2241
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.202539,0.000000,n2249
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.046018,0.000000,n2278
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,1.046402,3.250000,n2303
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.023449,0.000000,n2365
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.015832,0.000000,n2417
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.085622,0.000000,n2564
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.039585,0.000000,n2602
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.014954,0.000000,n2607
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.046916,0.000000,n2714
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n2716
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,1.282288,3.449982,n2725
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.014668,0.000000,n2816
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.279575,0.000000,n2950
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,1.838797,6.110016,n3018
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.016135,0.000000,n3104
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.024642,0.000000,n3135
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3226
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3625
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.039017,0.000000,n3686
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,1.484708,3.980011,n3715
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3744
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.031096,0.000000,n3783
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.078328,0.000000,n3910
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3913
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,1.492043,3.980011,n3918
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.388412,0.000000,n4162
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n4185
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n4188
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.366117,0.000000,n4266
