[step1] run SMABC method reproduction and export optimized verilog
[build] g++ -O3 -std=c++17 -o reproduce_paper_full reproduce_paper_full.cpp
[run] RUNS=20 NP=100 GENERATIONS=50 VERIFY_METHOD=0 BENCH_FILTER=<all>
[export] verilog dir: /mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/SMABC_FPRM_Reproduce/smabc_opt_paper (algo=SMABC)
[bench] br1 n=12 on_set=2
  run  4 | PSO=31 GA=31 ABC=31 SMABC=31
  run  5 | PSO=31 GA=31 ABC=31 SMABC=31
  run  6 | PSO=46 GA=31 ABC=31 SMABC=31
  run  7 | PSO=31 GA=31 ABC=31 SMABC=31
  run  8 | PSO=31 GA=31 ABC=31 SMABC=31
  run  9 | PSO=31 GA=31 ABC=31 SMABC=31
  run 10 | PSO=31 GA=31 ABC=31 SMABC=31
  run 11 | PSO=46 GA=31 ABC=31 SMABC=31
  run 12 | PSO=31 GA=31 ABC=31 SMABC=31
  run 13 | PSO=31 GA=31 ABC=31 SMABC=31
  run 14 | PSO=31 GA=31 ABC=31 SMABC=31
  run 15 | PSO=31 GA=31 ABC=31 SMABC=31
  run 16 | PSO=31 GA=31 ABC=31 SMABC=31
  run 17 | PSO=31 GA=31 ABC=31 SMABC=31
  run 18 | PSO=31 GA=31 ABC=31 SMABC=31
  run 19 | PSO=31 GA=31 ABC=31 SMABC=31
  run 20 | PSO=61 GA=31 ABC=31 SMABC=31
[bench] ts10 n=22 on_set=3
  run  1 | PSO=122 GA=41 ABC=41 SMABC=41
  run  2 | PSO=159 GA=41 ABC=41 SMABC=41
  run  3 | PSO=41 GA=41 ABC=41 SMABC=41
  run  4 | PSO=122 GA=41 ABC=41 SMABC=41
  run  5 | PSO=81 GA=41 ABC=41 SMABC=41
  run  6 | PSO=122 GA=41 ABC=41 SMABC=41
  run  7 | PSO=81 GA=41 ABC=41 SMABC=41
  run  8 | PSO=63 GA=41 ABC=41 SMABC=41
  run  9 | PSO=81 GA=41 ABC=41 SMABC=41
  run 10 | PSO=63 GA=41 ABC=41 SMABC=41
  run 11 | PSO=81 GA=41 ABC=41 SMABC=41
  run 12 | PSO=81 GA=41 ABC=41 SMABC=41
  run 13 | PSO=81 GA=41 ABC=41 SMABC=41
  run 14 | PSO=63 GA=41 ABC=41 SMABC=41
  run 15 | PSO=81 GA=41 ABC=41 SMABC=41
  run 16 | PSO=81 GA=41 ABC=41 SMABC=41
  run 17 | PSO=81 GA=41 ABC=41 SMABC=41
  run 18 | PSO=81 GA=41 ABC=41 SMABC=41
  run 19 | PSO=81 GA=41 ABC=41 SMABC=41
  run 20 | PSO=122 GA=41 ABC=41 SMABC=41

[done] outputs in: /mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/SMABC_FPRM_Reproduce/paper_reproduce_out
  - table2_reproduce.csv
  - raw_runs.csv
  - convergence_avg10.csv
  - summary.txt
[ok] finished. see ./paper_reproduce_out/
[step2] convert optimized verilog -> AIG and run cec
  [done] br1
  [done] br2
  [done] ex1010
  [done] gary
  [done] in0
  [done] in2
  [done] misex3
  [done] rd84
  [done] t2
  [done] table3
  [done] table5
  [done] ts10
[ok] optimized AIG generated: /mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt
[ok] equivalence report: /mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/smabc_method_equiv_report.csv
